TweetId,TweetTimestamp,EstimatedTimestamp,Error
613173,1165209377,1165216311,6934
716883,1165386612,1165396623,10011
782093,1165500217,1165495359,4858
717073,1165387017,1165396907,9890
1338543,1166483608,1166492875,9267
1029543,1165966098,1165970092,3994
1303823,1166441817,1166441869,52
1197123,1166213665,1166216806,3141
1554113,1166810937,1166808231,2706
1658553,1167031934,1167037950,6016
1698923,1167152851,1167152094,757
1951753,1167685303,1167683869,1434
2470623,1168364159,1168358063,6096
2246453,1168058414,1168061331,2917
2167853,1167954054,1167959702,5648
2174263,1167962719,1167968251,5532
2855133,1168811402,1168815108,3706
2547303,1168441110,1168440157,953
2662803,1168555244,1168555311,67
2544653,1168438650,1168436849,1801
2738583,1168634715,1168642752,8037
3632673,1169426756,1169427388,632
3713433,1169489754,1169486491,3263
3280603,1169151682,1169150682,1000
3438573,1169284491,1169287124,2633
3960043,1169658850,1169658633,217
4126003,1169773268,1169779391,6123
4711593,1170181916,1170176582,5334
4690253,1170172584,1170164782,7802
5180363,1170458616,1170464391,5775
5321614,1170673254,1170667654,5600
5317154,1170636460,1170633700,2760
5188753,1170462976,1170470054,7078
4810453,1170240085,1170234281,5804
5389328,1171021939,1171016073,5866
5431687,1171217186,1171210919,6267
5388486,1171017023,1171012030,4993
5403860,1171071100,1171085443,14343
5403963,1171071446,1171085932,14486
5349923,1170840845,1170842766,1921
5350363,1170844363,1170845184,821
5416615,1171139499,1171147776,8277
5386236,1171002947,1171001227,1720
5474484,1171351309,1171354072,2763
5602390,1171975878,1171967650,8228
5497783,1171450243,1171444004,6239
5607198,1171993134,1171991117,2017
5559618,1171741044,1171737066,3978
5589873,1171910692,1171905132,5560
5514998,1171514594,1171518509,3915
5555305,1171720474,1171711652,8822
5537485,1171627849,1171627941,92
5512461,1171502765,1171506147,3382
5562027,1171752635,1171751261,1374
5687183,1172395207,1172393209,1998
5701430,1172470794,1172475110,4316
5719401,1172544589,1172545804,1215
5665958,1172265426,1172267761,2335
5628417,1172089277,1172090823,1546
5700002,1172463412,1172468217,4805
5708750,1172508365,1172508778,413
5676183,1172329756,1172328978,778
5636826,1172128436,1172127921,515
5662227,1172251861,1172248689,3172
5798429,1172855848,1172856674,826
5853482,1173109359,1173110833,1474
5819984,1172953260,1172952337,923
5767187,1172733589,1172731739,1850
5824421,1172972254,1172976904,4650
5792356,1172836848,1172837063,215
5859253,1173126408,1173127572,1164
5730535,1172595043,1172589086,5957
5737413,1172614467,1172616620,2153
5835355,1173037688,1173037836,148
7195591,1173744446,1173745184,738
7191291,1173743730,1173744452,722
7446131,1173804739,1173802586,2153
6245021,1173496831,1173508199,11368
5903982,1173277518,1173275596,1922
8762011,1174085598,1174088631,3033
8672631,1174070029,1174069988,41
8720011,1174078102,1174079871,1769
11976151,1174729774,1174732180,2406
10951781,1174557125,1174554015,3110
11833751,1174696597,1174700322,3725
